Symptom,Disease,Advice,Medicine,Workout
Joint Pain,Low Blood Pressure,Follow doctor’s advice and maintain a healthy lifestyle.,Iron supplements,Regular exercise
Constipation,Thyroid Disorder,Follow doctor’s advice and maintain a healthy lifestyle.,Antacids,Rest for 2-3 days
Nausea,Nerve Damage,Follow doctor’s advice and maintain a healthy lifestyle.,Iron supplements,Dietary adjustments
Lightheadedness,Urinary Infection,Follow doctor’s advice and maintain a healthy lifestyle.,Salt tablets,Cardio exercises
Shortness of Breath,Pneumonia,Follow doctor’s advice and maintain a healthy lifestyle.,Cholinesterase inhibitors,Strength training
Tingling Sensation,Eczema,Follow doctor’s advice and maintain a healthy lifestyle.,Cholinesterase inhibitors,Regular exercise
Weakness,Arthritis,Follow doctor’s advice and maintain a healthy lifestyle.,Calcium supplements,Cardio exercises
Chest Pain,Conjunctivitis,Follow doctor’s advice and maintain a healthy lifestyle.,Cholinesterase inhibitors,Massage therapy
Night Sweats,Nerve Damage,Follow doctor’s advice and maintain a healthy lifestyle.,Paracetamol,Steam inhalation
Sore Throat,Heart Problem,Follow doctor’s advice and maintain a healthy lifestyle.,Activated charcoal,Breathing exercises
Frequent Urination,Hormonal Imbalance,Follow doctor’s advice and maintain a healthy lifestyle.,Calcium supplements,Steam inhalation
Frequent Urination,Hormonal Imbalance,Follow doctor’s advice and maintain a healthy lifestyle.,Diuretics,Rest for 2-3 days
Insomnia,Food Poisoning,Follow doctor’s advice and maintain a healthy lifestyle.,Antacids,Rest for 2-3 days
Diarrhea,Bronchitis,Follow doctor’s advice and maintain a healthy lifestyle.,Hydrocortisone cream,Aerobic workouts
Vomiting,Migraine,Follow doctor’s advice and maintain a healthy lifestyle.,Paracetamol,Strength training
Nausea,Nerve Damage,Follow doctor’s advice and maintain a healthy lifestyle.,Beta-blockers,Dietary adjustments
Cold Hands,Flu,Follow doctor’s advice and maintain a healthy lifestyle.,Glucose tablets,Muscle relaxation
Chest Pain,Pneumonia,Follow doctor’s advice and maintain a healthy lifestyle.,Vitamin B12 supplements,Breathing exercises
Slow Healing Wounds,Heart Problem,Follow doctor’s advice and maintain a healthy lifestyle.,ORS solution,Rest for 2-3 days
Nosebleeds,Anemia,Follow doctor’s advice and maintain a healthy lifestyle.,ORS solution,Eye exercises
Insomnia,Eczema,Follow doctor’s advice and maintain a healthy lifestyle.,Diuretics,Yoga & meditation
Joint Pain,Chronic Fatigue Syndrome,Follow doctor’s advice and maintain a healthy lifestyle.,Ibuprofen,Light stretching
Insomnia,Hormonal Imbalance,Follow doctor’s advice and maintain a healthy lifestyle.,Decongestants,Muscle relaxation
Blurred Vision,Pneumonia,Follow doctor’s advice and maintain a healthy lifestyle.,Hydrocortisone cream,Physiotherapy
Constipation,Cold,Follow doctor’s advice and maintain a healthy lifestyle.,Iron supplements,Breathing exercises
Memory Loss,Conjunctivitis,Follow doctor’s advice and maintain a healthy lifestyle.,Activated charcoal,Physiotherapy
Stomach Pain,Migraine,Follow doctor’s advice and maintain a healthy lifestyle.,Activated charcoal,Dietary adjustments
Dry Skin,Hypoglycemia,Follow doctor’s advice and maintain a healthy lifestyle.,Activated charcoal,Physiotherapy
Depression,Thyroid Disorder,Follow doctor’s advice and maintain a healthy lifestyle.,ORS solution,Regular exercise
Ear Pain,Diabetes,Follow doctor’s advice and maintain a healthy lifestyle.,Melatonin,Regular exercise
Insomnia,Asthma,Follow doctor’s advice and maintain a healthy lifestyle.,Corticosteroid creams,Light stretching
Weight Loss,Anemia,Follow doctor’s advice and maintain a healthy lifestyle.,Antacids,Strength training
Dizziness,Conjunctivitis,Follow doctor’s advice and maintain a healthy lifestyle.,Laxatives,Eye exercises
Brittle Nails,Gastroenteritis,Follow doctor’s advice and maintain a healthy lifestyle.,ORS solution,Yoga & meditation
Sore Throat,Chronic Fatigue Syndrome,Follow doctor’s advice and maintain a healthy lifestyle.,Salbutamol inhaler,Steam inhalation
Memory Loss,Indigestion,Follow doctor’s advice and maintain a healthy lifestyle.,Melatonin,Rest for 2-3 days
Stomach Pain,Pneumonia,Follow doctor’s advice and maintain a healthy lifestyle.,Corticosteroid creams,Dietary adjustments
Runny Nose,Conjunctivitis,Follow doctor’s advice and maintain a healthy lifestyle.,Hydrocortisone cream,Massage therapy
Runny Nose,Food Poisoning,Follow doctor’s advice and maintain a healthy lifestyle.,Antacids,Cardio exercises
Diarrhea,Hypoglycemia,Follow doctor’s advice and maintain a healthy lifestyle.,Melatonin,Yoga & meditation
Vision Problems,Asthma,Follow doctor’s advice and maintain a healthy lifestyle.,Glucose tablets,Massage therapy
Cough,Stress,Follow doctor’s advice and maintain a healthy lifestyle.,Angiotensin inhibitors,Yoga & meditation
Cold Hands,Gastroenteritis,Follow doctor’s advice and maintain a healthy lifestyle.,Corticosteroid creams,Light stretching
Dizziness,Allergy,Follow doctor’s advice and maintain a healthy lifestyle.,Melatonin,Yoga & meditation
Chest Pain,Osteoarthritis,Follow doctor’s advice and maintain a healthy lifestyle.,Glucose tablets,Light stretching
Fatigue,Tonsillitis,Follow doctor’s advice and maintain a healthy lifestyle.,Hydrocortisone cream,Physiotherapy
Stomach Pain,Hypoglycemia,Follow doctor’s advice and maintain a healthy lifestyle.,Diuretics,Rest for 2-3 days
Headache,Allergy,Follow doctor’s advice and maintain a healthy lifestyle.,Calcium supplements,Physiotherapy
Vomiting,Tonsillitis,Follow doctor’s advice and maintain a healthy lifestyle.,Corticosteroid creams,Breathing exercises
Fever,Pneumonia,Follow doctor’s advice and maintain a healthy lifestyle.,Melatonin,Yoga & meditation
Nosebleeds,Gastroenteritis,Follow doctor’s advice and maintain a healthy lifestyle.,Cholinesterase inhibitors,Physiotherapy
Blurred Vision,Alzheimer’s,Follow doctor’s advice and maintain a healthy lifestyle.,Antacids,Light walking
Nausea,Arthritis,Follow doctor’s advice and maintain a healthy lifestyle.,Hydrocortisone cream,Muscle relaxation
Low Blood Sugar,Migraine,Follow doctor’s advice and maintain a healthy lifestyle.,Iron supplements,Eye exercises
Fever,Sinusitis,Follow doctor’s advice and maintain a healthy lifestyle.,Diuretics,Massage therapy
Rash,Hormonal Imbalance,Follow doctor’s advice and maintain a healthy lifestyle.,Diuretics,Physiotherapy
Fatigue,Bronchitis,Follow doctor’s advice and maintain a healthy lifestyle.,Glucose tablets,Light walking
Rash,Kidney Disease,Follow doctor’s advice and maintain a healthy lifestyle.,Angiotensin inhibitors,Light stretching
Sore Throat,Gastroenteritis,Follow doctor’s advice and maintain a healthy lifestyle.,Melatonin,Physiotherapy
Runny Nose,Alzheimer’s,Follow doctor’s advice and maintain a healthy lifestyle.,Decongestants,Massage therapy
Anxiety,Vitamin Deficiency,Follow doctor’s advice and maintain a healthy lifestyle.,Paracetamol,Cardio exercises
Knee Pain,Urinary Infection,Follow doctor’s advice and maintain a healthy lifestyle.,Angiotensin inhibitors,Light walking
Lightheadedness,Thyroid Disorder,Follow doctor’s advice and maintain a healthy lifestyle.,Laxatives,Light stretching
High Blood Pressure,Vitamin Deficiency,Follow doctor’s advice and maintain a healthy lifestyle.,Angiotensin inhibitors,Eye exercises
Rash,Stress,Follow doctor’s advice and maintain a healthy lifestyle.,Paracetamol,Eye exercises
Swollen Lymph Nodes,Diabetes,Follow doctor’s advice and maintain a healthy lifestyle.,Glucose tablets,Strength training
Nausea,Tonsillitis,Follow doctor’s advice and maintain a healthy lifestyle.,ORS solution,Yoga & meditation
High Blood Pressure,Stress,Follow doctor’s advice and maintain a healthy lifestyle.,Calcium supplements,Aerobic workouts
Anxiety,Chronic Fatigue Syndrome,Follow doctor’s advice and maintain a healthy lifestyle.,Diuretics,Light walking
Slow Healing Wounds,Stress,Follow doctor’s advice and maintain a healthy lifestyle.,Decongestants,Yoga & meditation
Cold Hands,Allergy,Follow doctor’s advice and maintain a healthy lifestyle.,Salbutamol inhaler,Light stretching
Heart Palpitations,Asthma,Follow doctor’s advice and maintain a healthy lifestyle.,Glucose tablets,Physiotherapy
Increased Thirst,Chronic Fatigue Syndrome,Follow doctor’s advice and maintain a healthy lifestyle.,Beta-blockers,Strength training
Ear Pain,Muscle Strain,Follow doctor’s advice and maintain a healthy lifestyle.,Beta-blockers,Muscle relaxation
Lightheadedness,Arthritis,Follow doctor’s advice and maintain a healthy lifestyle.,Hydrocortisone cream,Breathing exercises
Brittle Nails,Migraine,Follow doctor’s advice and maintain a healthy lifestyle.,Laxatives,Light stretching
Swollen Lymph Nodes,Indigestion,Follow doctor’s advice and maintain a healthy lifestyle.,Melatonin,Rest for 2-3 days
Eye Irritation,Chronic Fatigue Syndrome,Follow doctor’s advice and maintain a healthy lifestyle.,Antacids,Breathing exercises
Blurred Vision,Low Blood Pressure,Follow doctor’s advice and maintain a healthy lifestyle.,Antibiotics,Regular exercise
Shortness of Breath,Hypertension,Follow doctor’s advice and maintain a healthy lifestyle.,ORS solution,Eye exercises
Diarrhea,Hypoglycemia,Follow doctor’s advice and maintain a healthy lifestyle.,Antacids,Rest for 2-3 days
Cough,Hypoglycemia,Follow doctor’s advice and maintain a healthy lifestyle.,Angiotensin inhibitors,Strength training
Rash,Heart Problem,Follow doctor’s advice and maintain a healthy lifestyle.,Calcium supplements,Muscle relaxation
Swollen Lymph Nodes,Cold,Follow doctor’s advice and maintain a healthy lifestyle.,Angiotensin inhibitors,Physiotherapy
Chest Pain,Low Blood Pressure,Follow doctor’s advice and maintain a healthy lifestyle.,Antibiotics,Physiotherapy
Nausea,Hypoglycemia,Follow doctor’s advice and maintain a healthy lifestyle.,Cholinesterase inhibitors,Steam inhalation
Frequent Urination,Arthritis,Follow doctor’s advice and maintain a healthy lifestyle.,ORS solution,Strength training
High Blood Pressure,Urinary Infection,Follow doctor’s advice and maintain a healthy lifestyle.,Antibiotics,Rest for 2-3 days
Skin Itching,Nerve Damage,Follow doctor’s advice and maintain a healthy lifestyle.,Vitamin B12 supplements,Light walking
Numbness,Cold,Follow doctor’s advice and maintain a healthy lifestyle.,Iron supplements,Rest for 2-3 days
Dry Skin,Bronchitis,Follow doctor’s advice and maintain a healthy lifestyle.,ORS solution,Light walking
Back Pain,Low Blood Pressure,Follow doctor’s advice and maintain a healthy lifestyle.,Antibiotics,Physiotherapy
Runny Nose,Hormonal Imbalance,Follow doctor’s advice and maintain a healthy lifestyle.,Melatonin,Dietary adjustments
Fatigue,Kidney Disease,Follow doctor’s advice and maintain a healthy lifestyle.,Beta-blockers,Rest for 2-3 days
Joint Pain,Hypoglycemia,Follow doctor’s advice and maintain a healthy lifestyle.,Melatonin,Eye exercises
Back Pain,Otitis,Follow doctor’s advice and maintain a healthy lifestyle.,Paracetamol,Steam inhalation
Hair Loss,Pneumonia,Follow doctor’s advice and maintain a healthy lifestyle.,Salbutamol inhaler,Eye exercises
Fever,Hypertension,Follow doctor’s advice and maintain a healthy lifestyle.,Antibiotics,Dietary adjustments
Back Pain,Indigestion,Follow doctor’s advice and maintain a healthy lifestyle.,Corticosteroid creams,Massage therapy
Fever,Diabetes,Follow doctor’s advice and maintain a healthy lifestyle.,Activated charcoal,Light walking
Constipation,Low Blood Pressure,Follow doctor’s advice and maintain a healthy lifestyle.,Ibuprofen,Light stretching
Stomach Pain,Sinusitis,Follow doctor’s advice and maintain a healthy lifestyle.,Hydrocortisone cream,Physiotherapy
Anxiety,Pneumonia,Follow doctor’s advice and maintain a healthy lifestyle.,Laxatives,Massage therapy
Numbness,Allergy,Follow doctor’s advice and maintain a healthy lifestyle.,ORS solution,Aerobic workouts
Cough,Allergy,Follow doctor’s advice and maintain a healthy lifestyle.,ORS solution,Strength training
Cold Hands,Conjunctivitis,Follow doctor’s advice and maintain a healthy lifestyle.,Melatonin,Massage therapy
Heart Palpitations,Migraine,Follow doctor’s advice and maintain a healthy lifestyle.,Beta-blockers,Aerobic workouts
Weakness,Allergy,Follow doctor’s advice and maintain a healthy lifestyle.,ORS solution,Steam inhalation
Back Pain,Sinusitis,Follow doctor’s advice and maintain a healthy lifestyle.,Ibuprofen,Cardio exercises
Ear Pain,Thyroid Disorder,Follow doctor’s advice and maintain a healthy lifestyle.,ORS solution,Physiotherapy
Knee Pain,Diabetes,Follow doctor’s advice and maintain a healthy lifestyle.,Corticosteroid creams,Cardio exercises
Skin Itching,Tonsillitis,Follow doctor’s advice and maintain a healthy lifestyle.,Salbutamol inhaler,Breathing exercises
Slow Healing Wounds,Food Poisoning,Follow doctor’s advice and maintain a healthy lifestyle.,Beta-blockers,Light walking
Constipation,Arthritis,Follow doctor’s advice and maintain a healthy lifestyle.,Melatonin,Light walking
Increased Thirst,Heart Problem,Follow doctor’s advice and maintain a healthy lifestyle.,Calcium supplements,Breathing exercises
Constipation,Hypertension,Follow doctor’s advice and maintain a healthy lifestyle.,ORS solution,Aerobic workouts
Fatigue,Conjunctivitis,Follow doctor’s advice and maintain a healthy lifestyle.,Antibiotics,Massage therapy
Night Sweats,Diabetes,Follow doctor’s advice and maintain a healthy lifestyle.,Decongestants,Eye exercises
Nosebleeds,Anemia,Follow doctor’s advice and maintain a healthy lifestyle.,Corticosteroid creams,Physiotherapy
Back Pain,Flu,Follow doctor’s advice and maintain a healthy lifestyle.,Diuretics,Regular exercise
Nausea,Osteoarthritis,Follow doctor’s advice and maintain a healthy lifestyle.,Laxatives,Steam inhalation
Lightheadedness,Migraine,Follow doctor’s advice and maintain a healthy lifestyle.,Decongestants,Physiotherapy
Weight Gain,Hypoglycemia,Follow doctor’s advice and maintain a healthy lifestyle.,Paracetamol,Physiotherapy
Knee Pain,Migraine,Follow doctor’s advice and maintain a healthy lifestyle.,Melatonin,Cardio exercises
Weakness,Osteoarthritis,Follow doctor’s advice and maintain a healthy lifestyle.,Ibuprofen,Aerobic workouts
Dark Urine,Hormonal Imbalance,Follow doctor’s advice and maintain a healthy lifestyle.,Salt tablets,Strength training
Weight Loss,Hypoglycemia,Follow doctor’s advice and maintain a healthy lifestyle.,Laxatives,Rest for 2-3 days
Memory Loss,Alzheimer’s,Follow doctor’s advice and maintain a healthy lifestyle.,Angiotensin inhibitors,Dietary adjustments
Fever,Diabetes,Follow doctor’s advice and maintain a healthy lifestyle.,Paracetamol,Aerobic workouts
Anxiety,Cold,Follow doctor’s advice and maintain a healthy lifestyle.,Salbutamol inhaler,Steam inhalation
High Blood Pressure,Flu,Follow doctor’s advice and maintain a healthy lifestyle.,Decongestants,Strength training
Lightheadedness,Hypertension,Follow doctor’s advice and maintain a healthy lifestyle.,Antibiotics,Breathing exercises
Rash,Pneumonia,Follow doctor’s advice and maintain a healthy lifestyle.,Decongestants,Steam inhalation
Low Blood Sugar,Asthma,Follow doctor’s advice and maintain a healthy lifestyle.,Diuretics,Eye exercises
Weakness,Heart Problem,Follow doctor’s advice and maintain a healthy lifestyle.,ORS solution,Cardio exercises
Cold Hands,Conjunctivitis,Follow doctor’s advice and maintain a healthy lifestyle.,Diuretics,Steam inhalation
Dry Skin,Nerve Damage,Follow doctor’s advice and maintain a healthy lifestyle.,Antacids,Dietary adjustments
Vision Problems,Kidney Disease,Follow doctor’s advice and maintain a healthy lifestyle.,Laxatives,Massage therapy
Runny Nose,Alzheimer’s,Follow doctor’s advice and maintain a healthy lifestyle.,Melatonin,Steam inhalation
Shortness of Breath,Stress,Follow doctor’s advice and maintain a healthy lifestyle.,Paracetamol,Massage therapy
Cold Hands,Flu,Follow doctor’s advice and maintain a healthy lifestyle.,Decongestants,Light stretching
Heart Palpitations,Alzheimer’s,Follow doctor’s advice and maintain a healthy lifestyle.,Activated charcoal,Physiotherapy
Slow Healing Wounds,Muscle Strain,Follow doctor’s advice and maintain a healthy lifestyle.,Vitamin B12 supplements,Strength training
Hair Loss,Arthritis,Follow doctor’s advice and maintain a healthy lifestyle.,Corticosteroid creams,Muscle relaxation
High Blood Pressure,Diabetes,Follow doctor’s advice and maintain a healthy lifestyle.,Laxatives,Light walking
Dizziness,Osteoarthritis,Follow doctor’s advice and maintain a healthy lifestyle.,Antacids,Light stretching
Slow Healing Wounds,Muscle Strain,Follow doctor’s advice and maintain a healthy lifestyle.,Antibiotics,Strength training
Back Pain,Cold,Follow doctor’s advice and maintain a healthy lifestyle.,Laxatives,Massage therapy
Shortness of Breath,Bronchitis,Follow doctor’s advice and maintain a healthy lifestyle.,Antacids,Aerobic workouts
Swollen Lymph Nodes,Stress,Follow doctor’s advice and maintain a healthy lifestyle.,Glucose tablets,Physiotherapy
Eye Irritation,Conjunctivitis,Follow doctor’s advice and maintain a healthy lifestyle.,Activated charcoal,Strength training
Blurred Vision,Cold,Follow doctor’s advice and maintain a healthy lifestyle.,Laxatives,Cardio exercises
Cough,Diabetes,Follow doctor’s advice and maintain a healthy lifestyle.,Laxatives,Cardio exercises
Headache,Nerve Damage,Follow doctor’s advice and maintain a healthy lifestyle.,Corticosteroid creams,Strength training
Diarrhea,Asthma,Follow doctor’s advice and maintain a healthy lifestyle.,Paracetamol,Light walking
Swollen Lymph Nodes,Muscle Strain,Follow doctor’s advice and maintain a healthy lifestyle.,Laxatives,Physiotherapy
Weakness,Migraine,Follow doctor’s advice and maintain a healthy lifestyle.,Calcium supplements,Regular exercise
Hair Loss,Arthritis,Follow doctor’s advice and maintain a healthy lifestyle.,Vitamin B12 supplements,Rest for 2-3 days
Back Pain,Arthritis,Follow doctor’s advice and maintain a healthy lifestyle.,Diuretics,Light walking
Back Pain,Arthritis,Follow doctor’s advice and maintain a healthy lifestyle.,Laxatives,Breathing exercises
Dizziness,Nerve Damage,Follow doctor’s advice and maintain a healthy lifestyle.,Salt tablets,Muscle relaxation
Night Sweats,Thyroid Disorder,Follow doctor’s advice and maintain a healthy lifestyle.,Activated charcoal,Breathing exercises
Ear Pain,Nerve Damage,Follow doctor’s advice and maintain a healthy lifestyle.,Glucose tablets,Cardio exercises
Ear Pain,Vitamin Deficiency,Follow doctor’s advice and maintain a healthy lifestyle.,Hydrocortisone cream,Muscle relaxation
Joint Pain,Allergy,Follow doctor’s advice and maintain a healthy lifestyle.,Melatonin,Aerobic workouts
Night Sweats,Tonsillitis,Follow doctor’s advice and maintain a healthy lifestyle.,Iron supplements,Strength training
Heart Palpitations,Alzheimer’s,Follow doctor’s advice and maintain a healthy lifestyle.,Laxatives,Dietary adjustments
High Blood Pressure,Flu,Follow doctor’s advice and maintain a healthy lifestyle.,Hydrocortisone cream,Massage therapy
Shortness of Breath,Nerve Damage,Follow doctor’s advice and maintain a healthy lifestyle.,Antacids,Yoga & meditation
Weight Loss,Gastroenteritis,Follow doctor’s advice and maintain a healthy lifestyle.,Diuretics,Eye exercises
Nosebleeds,Pneumonia,Follow doctor’s advice and maintain a healthy lifestyle.,Corticosteroid creams,Steam inhalation
Hair Loss,Osteoarthritis,Follow doctor’s advice and maintain a healthy lifestyle.,Diuretics,Massage therapy
Increased Thirst,Nerve Damage,Follow doctor’s advice and maintain a healthy lifestyle.,Glucose tablets,Regular exercise
Depression,Asthma,Follow doctor’s advice and maintain a healthy lifestyle.,Salt tablets,Regular exercise
Constipation,Flu,Follow doctor’s advice and maintain a healthy lifestyle.,Hydrocortisone cream,Steam inhalation
Weight Gain,Hormonal Imbalance,Follow doctor’s advice and maintain a healthy lifestyle.,Diuretics,Aerobic workouts
Ear Pain,Low Blood Pressure,Follow doctor’s advice and maintain a healthy lifestyle.,Corticosteroid creams,Eye exercises
Ear Pain,Pneumonia,Follow doctor’s advice and maintain a healthy lifestyle.,Paracetamol,Steam inhalation
Weight Loss,Asthma,Follow doctor’s advice and maintain a healthy lifestyle.,Ibuprofen,Eye exercises
Cold Hands,Indigestion,Follow doctor’s advice and maintain a healthy lifestyle.,Cholinesterase inhibitors,Aerobic workouts
Back Pain,Alzheimer’s,Follow doctor’s advice and maintain a healthy lifestyle.,Antacids,Regular exercise
Fatigue,Migraine,Follow doctor’s advice and maintain a healthy lifestyle.,Laxatives,Breathing exercises
Rash,Low Blood Pressure,Follow doctor’s advice and maintain a healthy lifestyle.,Angiotensin inhibitors,Massage therapy
Swollen Lymph Nodes,Nerve Damage,Follow doctor’s advice and maintain a healthy lifestyle.,Melatonin,Aerobic workouts
Muscle Cramps,Cold,Follow doctor’s advice and maintain a healthy lifestyle.,Salbutamol inhaler,Strength training
Back Pain,Hypertension,Follow doctor’s advice and maintain a healthy lifestyle.,Calcium supplements,Massage therapy
Weakness,Urinary Infection,Follow doctor’s advice and maintain a healthy lifestyle.,Corticosteroid creams,Yoga & meditation
Cold Hands,Eczema,Follow doctor’s advice and maintain a healthy lifestyle.,Salt tablets,Rest for 2-3 days
Frequent Urination,Hypoglycemia,Follow doctor’s advice and maintain a healthy lifestyle.,Salt tablets,Dietary adjustments
Swollen Lymph Nodes,Gastroenteritis,Follow doctor’s advice and maintain a healthy lifestyle.,Vitamin B12 supplements,Muscle relaxation
Brittle Nails,Allergy,Follow doctor’s advice and maintain a healthy lifestyle.,Vitamin B12 supplements,Light walking
Cough,Gastroenteritis,Follow doctor’s advice and maintain a healthy lifestyle.,Melatonin,Light walking
Muscle Cramps,Alzheimer’s,Follow doctor’s advice and maintain a healthy lifestyle.,Laxatives,Massage therapy
Back Pain,Tonsillitis,Follow doctor’s advice and maintain a healthy lifestyle.,ORS solution,Steam inhalation
Ear Pain,Cold,Follow doctor’s advice and maintain a healthy lifestyle.,Diuretics,Rest for 2-3 days
Weight Gain,Flu,Follow doctor’s advice and maintain a healthy lifestyle.,Salt tablets,Rest for 2-3 days
Memory Loss,Alzheimer’s,Follow doctor’s advice and maintain a healthy lifestyle.,Calcium supplements,Eye exercises
Frequent Urination,Food Poisoning,Follow doctor’s advice and maintain a healthy lifestyle.,Activated charcoal,Cardio exercises
Weight Gain,Thyroid Disorder,Follow doctor’s advice and maintain a healthy lifestyle.,Beta-blockers,Strength training
Constipation,Alzheimer’s,Follow doctor’s advice and maintain a healthy lifestyle.,Activated charcoal,Light walking
Muscle Cramps,Hormonal Imbalance,Follow doctor’s advice and maintain a healthy lifestyle.,ORS solution,Muscle relaxation
Stomach Pain,Eczema,Follow doctor’s advice and maintain a healthy lifestyle.,Angiotensin inhibitors,Cardio exercises
Rash,Nerve Damage,Follow doctor’s advice and maintain a healthy lifestyle.,Activated charcoal,Rest for 2-3 days
Shortness of Breath,Sinusitis,Follow doctor’s advice and maintain a healthy lifestyle.,Paracetamol,Massage therapy
Weight Loss,Migraine,Follow doctor’s advice and maintain a healthy lifestyle.,Cholinesterase inhibitors,Steam inhalation
Rash,Hypertension,Follow doctor’s advice and maintain a healthy lifestyle.,Beta-blockers,Breathing exercises
Diarrhea,Vitamin Deficiency,Follow doctor’s advice and maintain a healthy lifestyle.,Paracetamol,Light walking
Lightheadedness,Diabetes,Follow doctor’s advice and maintain a healthy lifestyle.,Antibiotics,Strength training
Cold Hands,Chronic Fatigue Syndrome,Follow doctor’s advice and maintain a healthy lifestyle.,ORS solution,Muscle relaxation
Weight Gain,Hypoglycemia,Follow doctor’s advice and maintain a healthy lifestyle.,Glucose tablets,Cardio exercises
Vision Problems,Urinary Infection,Follow doctor’s advice and maintain a healthy lifestyle.,Salbutamol inhaler,Eye exercises
Brittle Nails,Thyroid Disorder,Follow doctor’s advice and maintain a healthy lifestyle.,Cholinesterase inhibitors,Massage therapy
Fatigue,Low Blood Pressure,Follow doctor’s advice and maintain a healthy lifestyle.,Hydrocortisone cream,Breathing exercises
Frequent Urination,Otitis,Follow doctor’s advice and maintain a healthy lifestyle.,Iron supplements,Light walking
Cold Hands,Flu,Follow doctor’s advice and maintain a healthy lifestyle.,Activated charcoal,Light stretching
Dizziness,Hypertension,Follow doctor’s advice and maintain a healthy lifestyle.,Paracetamol,Light walking
Lightheadedness,Allergy,Follow doctor’s advice and maintain a healthy lifestyle.,Decongestants,Eye exercises
Ear Pain,Otitis,Follow doctor’s advice and maintain a healthy lifestyle.,Glucose tablets,Light stretching
Nausea,Hypoglycemia,Follow doctor’s advice and maintain a healthy lifestyle.,Calcium supplements,Cardio exercises
Dry Skin,Cold,Follow doctor’s advice and maintain a healthy lifestyle.,Antacids,Aerobic workouts
Skin Itching,Bronchitis,Follow doctor’s advice and maintain a healthy lifestyle.,Activated charcoal,Cardio exercises
Frequent Urination,Conjunctivitis,Follow doctor’s advice and maintain a healthy lifestyle.,Antacids,Muscle relaxation
Constipation,Thyroid Disorder,Follow doctor’s advice and maintain a healthy lifestyle.,Cholinesterase inhibitors,Eye exercises
Cold Hands,Osteoarthritis,Follow doctor’s advice and maintain a healthy lifestyle.,Decongestants,Eye exercises
Insomnia,Stress,Follow doctor’s advice and maintain a healthy lifestyle.,Vitamin B12 supplements,Steam inhalation
Back Pain,Thyroid Disorder,Follow doctor’s advice and maintain a healthy lifestyle.,Melatonin,Physiotherapy
Cold Hands,Chronic Fatigue Syndrome,Follow doctor’s advice and maintain a healthy lifestyle.,Angiotensin inhibitors,Eye exercises
Blurred Vision,Food Poisoning,Follow doctor’s advice and maintain a healthy lifestyle.,Paracetamol,Light stretching
Frequent Urination,Hypoglycemia,Follow doctor’s advice and maintain a healthy lifestyle.,Laxatives,Cardio exercises
Brittle Nails,Alzheimer’s,Follow doctor’s advice and maintain a healthy lifestyle.,Paracetamol,Aerobic workouts
Fever,Flu,Follow doctor’s advice and maintain a healthy lifestyle.,Ibuprofen,Steam inhalation
Low Blood Sugar,Kidney Disease,Follow doctor’s advice and maintain a healthy lifestyle.,Salt tablets,Strength training
Nausea,Stress,Follow doctor’s advice and maintain a healthy lifestyle.,Paracetamol,Dietary adjustments
Skin Itching,Eczema,Follow doctor’s advice and maintain a healthy lifestyle.,Beta-blockers,Light walking
Tingling Sensation,Food Poisoning,Follow doctor’s advice and maintain a healthy lifestyle.,Paracetamol,Strength training
Increased Thirst,Pneumonia,Follow doctor’s advice and maintain a healthy lifestyle.,Melatonin,Light walking
Fatigue,Otitis,Follow doctor’s advice and maintain a healthy lifestyle.,Diuretics,Aerobic workouts
Runny Nose,Indigestion,Follow doctor’s advice and maintain a healthy lifestyle.,Beta-blockers,Yoga & meditation
Low Blood Sugar,Thyroid Disorder,Follow doctor’s advice and maintain a healthy lifestyle.,Ibuprofen,Aerobic workouts
Weight Loss,Alzheimer’s,Follow doctor’s advice and maintain a healthy lifestyle.,Corticosteroid creams,Rest for 2-3 days
Swollen Lymph Nodes,Chronic Fatigue Syndrome,Follow doctor’s advice and maintain a healthy lifestyle.,Diuretics,Steam inhalation
Muscle Cramps,Vitamin Deficiency,Follow doctor’s advice and maintain a healthy lifestyle.,Salt tablets,Steam inhalation
Fatigue,Osteoarthritis,Follow doctor’s advice and maintain a healthy lifestyle.,Decongestants,Rest for 2-3 days
Increased Thirst,Pneumonia,Follow doctor’s advice and maintain a healthy lifestyle.,Laxatives,Regular exercise
Rash,Food Poisoning,Follow doctor’s advice and maintain a healthy lifestyle.,Antacids,Eye exercises
Heart Palpitations,Urinary Infection,Follow doctor’s advice and maintain a healthy lifestyle.,ORS solution,Regular exercise
Blurred Vision,Tonsillitis,Follow doctor’s advice and maintain a healthy lifestyle.,Salbutamol inhaler,Eye exercises
Heart Palpitations,Migraine,Follow doctor’s advice and maintain a healthy lifestyle.,Melatonin,Dietary adjustments
Nausea,Urinary Infection,Follow doctor’s advice and maintain a healthy lifestyle.,Iron supplements,Massage therapy
Dry Skin,Cold,Follow doctor’s advice and maintain a healthy lifestyle.,Angiotensin inhibitors,Breathing exercises
Depression,Chronic Fatigue Syndrome,Follow doctor’s advice and maintain a healthy lifestyle.,Paracetamol,Rest for 2-3 days
Nausea,Sinusitis,Follow doctor’s advice and maintain a healthy lifestyle.,Melatonin,Rest for 2-3 days
Nosebleeds,Hormonal Imbalance,Follow doctor’s advice and maintain a healthy lifestyle.,Laxatives,Light stretching
Nosebleeds,Thyroid Disorder,Follow doctor’s advice and maintain a healthy lifestyle.,Cholinesterase inhibitors,Massage therapy
